roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
47_Supracalcarine_Cortex_left.nii,50,3,13,0.06,0.26
5_Left_Caudate.nii,49,2,12,0.04081632653061224,0.24489795918367346
31_Precuneous_Cortex_left.nii,1174,116,244,0.09880749574105621,0.20783645655877342
30_Cingulate_Gyrus_posterior_division_left.nii,537,71,107,0.13221601489757914,0.19925512104283055
32_Cuneal_Cortex_left.nii,182,25,34,0.13736263736263737,0.18681318681318682
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,179,319,0.09722976643128735,0.1732753938077132
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,19,51,0.06397306397306397,0.1717171717171717
24_Intracalcarine_Cortex_left.nii,190,3,32,0.015789473684210527,0.16842105263157894
21_Angular_Gyrus_left.nii,396,16,66,0.04040404040404041,0.16666666666666666
19_Supramarginal_Gyrus_anterior_division_left.nii,401,28,65,0.06982543640897755,0.16209476309226933
25_Frontal_Medial_Cortex_right.nii,182,15,29,0.08241758241758242,0.15934065934065933
28_Paracingulate_Gyrus_right.nii,745,64,113,0.08590604026845637,0.15167785234899328
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,53,55,0.14520547945205478,0.1506849315068493
40_Occipital_Fusiform_Gyrus_right.nii,674,27,95,0.040059347181008904,0.14094955489614244
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,94,264,0.04872991187143598,0.1368584758942457
20_Supramarginal_Gyrus_posterior_division_right.nii,725,240,97,0.3310344827586207,0.13379310344827586
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,13,21,0.08280254777070063,0.1337579617834395
20_Supramarginal_Gyrus_posterior_division_left.nii,433,124,57,0.2863741339491917,0.13163972286374134
4_Middle_Frontal_Gyrus_right.nii,1334,242,175,0.18140929535232383,0.13118440779610194
47_Supracalcarine_Cortex_right.nii,23,2,3,0.08695652173913043,0.13043478260869565
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,20,23,0.11235955056179775,0.12921348314606743
3_Superior_Frontal_Gyrus_left.nii,1476,143,186,0.09688346883468835,0.12601626016260162
36_Lingual_Gyrus_right.nii,827,46,104,0.05562273276904474,0.12575574365175332
21_Angular_Gyrus_right.nii,577,62,72,0.10745233968804159,0.12478336221837089
30_Cingulate_Gyrus_posterior_division_right.nii,499,74,62,0.14829659318637275,0.12424849699398798
